"","GEOID","state","county_name","distance_nearest_hub(mile)","nearest_hub_name","nearest_hub_id","hub_county_geoid","hub_county_name","hub_products","hub_desert","geometry"
"92","40023","Oklahoma","Choctaw",87.8859569374116,"Profound Foods","500209","48085","Collin","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Coffee/tea;Cut flowers;Dairy products;Eggs;Herbs;Grains/flour;Green household products;Honey;Mushrooms;Red/other non-poultry meat and products;Soap/body care products;Wild harvested forest products;meal kits;",TRUE,c(41043.4645391632, 1218063.94729668)
"93","40113","Oklahoma","Osage",90.8049726985962,"Schenker Family Farms, Inc.","500084","20037","Crawford","Fresh fruits;Fresh vegetables;Baked goods;Canned or preserved fruits/vegetables;Dairy products;Eggs;Honey;Pet food;Poultry/fowl meat and products;Red/other non-poultry meat and products;",TRUE,c(-35284.2130940217, 1509249.68020736)
"94","41015","Oregon","Curry",25.5482802540384,"OtterBee's Market","501251","41015","Curry",NA,TRUE,c(-2267665.00248447, 2500388.51830825)
"95","41045","Oregon","Malheur",74.3659461421196,"Global Gardens Boise","500226","16001","Ada","Fresh vegetables;Wild harvested forest products;",TRUE,c(-1733636.64000706, 2441554.402048)
"96","41001","Oregon","Baker",98.3325548196152,"Walla Walla Food Hub","501255","53071","Walla Walla",NA,TRUE,c(-1699425.65646153, 2607988.65598213)
"97","42111","Pennsylvania","Somerset",44.0835986585556,"Garrett Growers Cooperative, Inc.","500140","24023","Garrett","Fresh fruits;Fresh vegetables;Cut flowers;Dry beans;",TRUE,c(1429095.2272928, 2011820.99133614)
"98","42133","Pennsylvania","York",20.0870741538066,"South Central PA Harvest Hub","500161","42133","York","Fresh fruits;Fresh vegetables;Juices/non-alcoholic ciders;",TRUE,c(1621649.88525867, 2043008.9524379)
"99","45003","South Carolina","Aiken",20.8617033279105,"Augusta Locally Grown","501261","13245","Richmond",NA,TRUE,c(1319844.61115406, 1263994.73831918)
"100","45091","South Carolina","York",18.9058575814703,"Catawba Farm and Food Coalition","500204","45023","Chester","Fresh fruits;Fresh vegetables;Dairy products;Eggs;Herbs;Grains/flour;Honey;Mushrooms;Poultry/fowl meat and products;Red/other non-poultry meat and products;",FALSE,c(1336075.08425929, 1428340.79414207)
"101","46127","South Dakota","Union",54.4880253888782,"Dakota Fresh Food Hub","500218","46099","Minnehaha","Fresh fruits;Fresh vegetables;Cut flowers;Eggs;Herbs;Honey;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;Wild harvested forest products;",TRUE,c(-53320.681915577, 2204129.62102912)
"102","46009","South Dakota","Bon Homme",73.2453565142141,"Dakota Fresh Food Hub","500218","46099","Minnehaha","Fresh fruits;Fresh vegetables;Cut flowers;Eggs;Herbs;Honey;Poultry/fowl meat and products;Red/other non-poultry meat and products;Soap/body care products;Wild harvested forest products;",TRUE,c(-152845.765258677, 2222917.7367915)
"103","46089","South Dakota","McPherson",139.986280833303,"Moorhead Farmers Market Food Hub","501175","27027","Clay",NA,TRUE,c(-250726.893144852, 2535187.23241413)
"104","47065","Tennessee","Hamilton",10.295860302293,"Harvested Here Food Hub","500103","47065","Hamilton","Fresh fruits;Fresh vegetables;Dairy products;Eggs;Honey;Mushrooms;",FALSE,c(976341.171164258, 1402733.30609509)
