"county_fips","state","county_name","distance_nearest_farmersmarket_mile","distance_nearest_hub_mile","number_foodhub","has_hub","all_sales","d2c_sales_pct","local_sales_pct","intermediated_sales_pct_derived","SPMA","SPMA_0_100","share"
"27171","Minnesota","Wright",4.26568910996894,39.2892067772423,NA,FALSE,283025000,0.497482568,NA,99.502517432,259815.96353108,47.7830150784965,0.355176804780096
"28043","Mississippi","Grenada",1.06628453184641,73.9125393052243,NA,FALSE,17034000,0.105671011,0.915815413,99.894328989,18946.3898220492,35.8848848832262,NA
"29033","Missouri","Carroll",4.81262525126373,63.3876452628609,NA,FALSE,209220000,0.00908135,NA,99.99091865,52886.3682563177,40.5494988006454,NA
"37103","North Carolina","Jones",2.89055534584078,33.3438115220505,NA,FALSE,286256000,0.00593874,NA,99.99406126,259487.850118737,47.7772727464283,0.302373581011352
"42051","Pennsylvania","Fayette",19.3403136659486,37.8627665584643,NA,FALSE,37419000,3.693310976,NA,96.306689024,28832.3232572867,37.7928381753586,0.0906135717188135
"22011","Louisiana","Beauregard",14.2822708735607,82.1899042555324,NA,FALSE,19216000,3.861365557,NA,96.138634443,6372.34344213306,30.9337880776147,0.341321243523316
"26163","Michigan","Wayne",2.49484868757591,8.22972441594644,4,TRUE,40848000,2.499510288,4.754210949,97.500489712,752075.485543737,52.6128665118093,0.154135338345865
"33009","New Hampshire","Grafton",19.4827152883125,25.3400032683993,NA,FALSE,32742000,6.145012379,8.612791061,93.854987621,53158.062429038,40.5727836088513,0.354269293924466
"37095","North Carolina","Hyde",40.618548660183,61.0445335248696,NA,FALSE,170127000,NA,NA,NA,NA,NA,0.0405927835051546
"47163","Tennessee","Sullivan",8.62641169770346,30.6122438105984,NA,FALSE,16741000,0.657069445,0.931843996,99.342930555,19225.3231192483,35.9512945243265,0.0731707317073171
"48075","Texas","Childress",71.6678658093188,101.948308477677,NA,FALSE,26096000,NA,NA,NA,NA,NA,0.0036598117811084
"51105","Virginia","Lee",30.4075531432357,18.1381031363806,NA,FALSE,15425000,0.752025902,NA,99.247974098,46658.6752435492,39.9801822370326,1.81173594132029
"06055","California","Napa",14.3101839158218,21.165432728387,NA,FALSE,716603000,45.7812767,90.09772491,54.2187233,2469358.59471932,58.0153574288284,12.5859255026606
"08011","Colorado","Bent",28.8138131401762,111.038951189855,NA,FALSE,54238000,NA,NA,NA,NA,NA,NA
"51009","Virginia","Amherst",5.2333384931461,36.6286411519927,NA,FALSE,10726000,9.546895027,14.16184998,90.453104973,44620.2201400274,39.7771893051915,3.41932457786116
"51147","Virginia","Prince Edward",5.22761465158595,56.8148318837206,NA,FALSE,22150000,1.246049643,NA,98.753950357,16876.0374031822,35.3590654088815,0.349038461538462
"54045","West Virginia","Logan",8.18711300881039,49.9259356656282,NA,FALSE,83000,NA,NA,NA,NA,NA,NA
"06083","California","Santa Barbara",8.81292652906267,34.1192170431461,1,TRUE,2608702000,1.749759078,18.3409214,98.250240922,2789418.44247393,58.5691802098673,18.5261447716981
"12045","Florida","Gulf",10.7157799313411,197.829297979277,NA,FALSE,2862000,0.174703002,65.93291473,99.825296998,116.544444367359,12.7885107519485,NA
"13039","Georgia","Camden",16.2039521361455,81.5218273013889,NA,FALSE,988000,7.489878654,NA,92.510121346,419.361986562292,18.5791836338263,17.9310344827586
"53077","Washington","Yakima",10.9365851140038,63.6347233332871,NA,FALSE,2265510000,0.219023526,8.006011963,99.780976474,599730.941987375,51.5842630150645,20.0836654283463
"02070","Alaska","Dillingham",NA,259.393894848649,NA,FALSE,NA,NA,NA,NA,NA,NA,NA
"09190","Connecticut","Western Connecticut",5.15329570863956,8.16256804136555,1,TRUE,NA,NA,NA,NA,NA,NA,NA
"45057","South Carolina","Lancaster",17.3103549502456,24.1747353902192,NA,FALSE,76418000,0.242089555,2.606715679,99.757910445,131060.022115248,44.673353647038,0.0732165206508135
"16083","Idaho","Twin Falls",17.1372927284124,71.7893367669346,NA,FALSE,1135933000,0.086272694,NA,99.913727306,223557.515221143,47.1000026940896,0.02856953905165
"19001","Iowa","Adair",1.84907786792275,44.8399174744762,NA,FALSE,260155000,0.067267589,NA,99.932732411,180486.738757964,46.1274968461236,NA
"21147","Kentucky","McCreary",3.02356201215447,84.212125841619,NA,FALSE,1453000,2.133516788,NA,97.866483212,3591.48637306432,28.3286905684383,0.823529411764706
"27023","Minnesota","Chippewa",9.3829934590502,26.2021619661659,NA,FALSE,446611000,0.16502057,0.204428464,99.83497943,657809.437428442,52.0043016508765,0.0164835164835165
"30027","Montana","Fergus",77.8909047327545,76.2757451377266,NA,FALSE,160111000,0.051839035,1.328453422,99.948160965,27519.4032387098,37.5810597707746,NA
"37159","North Carolina","Rowan",3.44117212462243,32.9276877874918,NA,FALSE,96618000,1.969612241,NA,98.030387759,248060.455379211,47.5726146254337,0.355732885342293
"42063","Pennsylvania","Indiana",4.07591676166436,40.9192479871272,NA,FALSE,100817000,0.823273838,2.574962616,99.176726162,109676.242013482,43.8639355226145,0.695823927765237
"49029","Utah","Morgan",19.7956563003863,168.584073163248,NA,FALSE,17223000,1.09736979,2.235383034,98.90263021,1081.65945949017,22.8782675431379,0.0794520547945206
"47187","Tennessee","Williamson",6.48517160078109,18.2905448920178,NA,FALSE,39881000,1.34650588,15.28547382,98.65349412,130373.096888145,44.6494736655713,NA
"48311","Texas","McMullen",61.9728793384513,74.0671151022011,NA,FALSE,9466000,NA,NA,NA,NA,NA,NA
"30039","Montana","Granite",25.5085247679411,43.0304340143724,NA,FALSE,18984000,0.784871459,5.099030972,99.215128541,10401.1726671326,33.1599485100039,NA
"01081","Alabama","Lee",7.02870569939827,91.9094387053147,NA,FALSE,50195000,0.934356034,4.211575031,99.065643966,15379.9911026464,34.9372656560503,0.0725170782974251
"01059","Alabama","Franklin",7.6499622587776,73.2030305643807,NA,FALSE,254122000,0.009837794,NA,99.990162206,47844.9919664705,40.0942736764319,NA
"05143","Arkansas","Washington",3.93034231206208,15.168564220392,1,TRUE,701917000,0.141897112,0.268692732,99.858102888,3110828.34387214,59.0647519173376,0.149389719786832
"05089","Arkansas","Marion",3.03819883153293,74.5015297317444,NA,FALSE,56847000,0.05629145,NA,99.94370855,13702.7661740971,34.4125845609815,0.0757575757575758
"08009","Colorado","Baca",73.938757333095,152.432568132158,NA,FALSE,130867000,NA,NA,NA,NA,NA,NA
"08099","Colorado","Prowers",49.7495487063811,143.074412633812,NA,FALSE,429644000,0.001862007,NA,99.998137993,20991.5061068471,36.350662399553,NA
